id,label,claim
150659,1,Corona 'Menggila' Olimpiade Tokyo Terancam Batal
150660,1,Alert! San Francisco Umumkan 'Darurat' Corona
150661,1,Terdampak Corona Tom Cruise Batal Syuting Mission Impossible
150662,1,Dunia Digempur Corona Sri Mulyani Ajak Turis Traveling ke RI
150663,1,Wamenkes Iran Kena Corona AS Curiga Korbannya Lebih Banyak
150664,1,Ada Gejolak Corona BI Pakai 3 Jurus Menstabilkan Rupiah
150665,1,Sri Mulyani: Atasi Imbas Corona Pemerintah Berikan Insentif
150666,1,966 Warga China Perpanjang Izin Tinggal di Bali Khawatir Terinfeksi Virus Corona
150667,1,Dampak Virus Corona Mulai Dirasakan Sektor Pariwisata DKI
150668,1,Pasien Diduga Corona di RSHS Pernah Pergi ke Thailand
150669,1,RSHS Kembali Tangani Pasien Diduga Corona
150670,1,Penyebab Kematian Suspect Corona RSUP Kariadi Masih Dicari
150671,1,Pembelian Paket Wisata Turun 30 Persen Akibat Wabah Corona
150672,1,Pasokan Galaxy S20 Terancam karena Corona
150673,1,Bahayanya Corona Sampai Bikin Apple Tunda Peluncuran iPhone Rp5 Jutaan
150674,1,Menhub: Corona tak Usik Proyek Kereta Cepat Jakarta-Bandung
150675,1,Raksasa Asuransi Teknologi China Dapat Berkah di Tengah Wabah Corona
150676,1,Maskapai Dunia akan Merugi Miliaran Dolar AS karena Corona
150677,1,Akibat Corona Bank Mandiri Selektif Salurkan Kredit
150678,1,The Fed: Kebijakan Moneter AS Sesuai Meski Ada Isu Corona
150679,1,Penyebaran Corona Untungkan Saham Emiten Produk Konsumsi
150680,1,Luhut Sebut Target Kereta Cepat Bisa Molor karena Corona
150681,1,G20 Pantau Dampak Wabah Corona Terhadap Pertumbuhan Global
150682,1,Bank Sentral Jepang Siap Ambil Tindakan Soal Dampak Corona
150683,1,Duh! Dalam Sehari 6 Negara Konfirmasi Lagi Kemasukan Corona
150684,1,Tak Cuma Corona Ini 5 'Setan' Ekonomi 2020!
150685,1,Heboh Pasien Suspect Virus Corona di Semarang Meninggal Why?
150686,1,Iran Catat Kematian Tertinggi Imbas Corona di Luar China
150687,1,Virus Corona Masih Bayangi Pergerakan IHSG
150688,1,Yakin Aman dari Corona SXSW Dipastikan Tetap Berjalan
150689,1,Virus Corona Hong Kong Gelontorkan Stimulus Ekonomi Rp212 T
150690,1,Produsen Kendaraan Komersial Waspada Efek Virus Corona
150691,1,TNI AD Siapkan RSPAD Seluruh Daerah Antisipasi Virus Corona
150692,1,Pakistan Konfirmasi Dua Kasus Corona Warga Diminta Tak Panik
150693,1,Filipina Larang Turis Korsel Akibat Wabah Virus Corona
150694,1,Waspada Corona Ludogorets Pakai Masker Jelang Lawan Inter
150695,1,Kasus Virus Corona di Libanon Bertambah
150696,1,Brazil Umumkan Kasus Corona Pertama di Amerika Latin
150697,1,PKS Kritik Anggaran buat Influencer Redam Dampak Corona
150698,1,Efek Virus Corona German Open 2020 Dibatalkan
150699,1,Fadli Cibir Pemerintah Sewa Influencer Redam Corona: Amatiran
150700,1,Cerita Turis WNI Soal Cara Korsel Hadapi Wabah Virus Corona
150701,1,Virus Corona Airlangga Ramal Stimulus Mulai Berdampak Juni
150702,1,Seorang WN Prancis Meninggal Usai Terinfeksi Virus Corona
150703,1,Arab Saudi Setop Sementara Visa Umrah di Tengah Wabah Corona
150704,1,AS Waspada Corona Rupiah Keok ke Rp13.940 per Dolar
150705,1,Ahli Respons Dokter AS soal Virus Corona Hidup di Benda Mati
150706,1,Cegah Corona Kim Woo-bin Hingga Yoo Jae-suk Donasi Rp1 M
150707,1,280 Anggota Tim Observasi Corona Dilepas ke Pulau Sebaru
150708,1,Korban Jiwa Bertambah Korsel Catat 1.146 Kasus Virus Corona
150709,1,Erick Thohir Dipastikan Sehat dan tak Terinfeksi Corona
150710,1,Gojek Bekukan Akun Mitranya yang Diduga Terinfeksi Corona
150711,1,Pasien Corona di Italia Makin Banyak yang Berusia Muda
150712,1,Tujuh Warga Jawa Barat Positif Corona
150713,1,Puluhan Warga Cianjur Kontak Pasien Corona Diobservasi Ulang
150714,1,Pasien RSD Positif Corona Warga Cirebon Diimbau tak Panik
150715,1,Terbaru Jumlah Positif Corona di Indonesia Menjadi 96 Orang
150716,1,Malaysia Catat 41 Kasus Baru Corona Terkait Tabligh Akbar
150717,1,TIm UI dan IPB Temukan Kandidat Antivirus Corona
150718,1,Hasil Tes Corona Negatif Benjamin Mendy: Alhamdulillah
150719,1,Pesepak Bola Italia Terinfeksi Corona Bertambah
150720,1,Ronaldo Ubah Hotelnya Jadi Rumah Sakit Gratis Pasien Corona
150721,1,Kemenkes Bantah Viral Larangan Mudik di Medsos karena Corona
150722,1,WHO Puji Pesan Juergen Klopp Soal Pencegahan Virus Corona
150723,1,Antisipasi Corona Pemkot Denpasar Semprotkan Disinfektan
150724,1,Corona dan Bayangan Masjid Melompong Saat Ramadhan
150725,1,Corona Tolak Bala: Dari Kidung Sunan Kalijaga Hingga Kiswah
150726,1,Din Kritik Cara Pemerintah Tangani Wabah Corona
150727,1,GP Ansor: Pemerintah Harus Jujur dan Transparan Soal Corona
150728,1,Istana: Menhub Budi Karya Sumadi Positif Corona
150729,1,Staf Bantah Tito Karnavian dan Istri Kena Corona
150730,1,Pasien Pengawasan Corona Tangerang Dirujuk ke RSUP
150731,1,Hadapi Corona Usahakan Bereaksi yang tak Timbulkan Masalah
150732,1,Sikapi Corona Ini yang Perlu Orang Tua Lakukan kepada Anak
150733,1,IMM Akui Kecewa Soal Kinerja Pemerintah Hadapi Corona
150734,1,Karawang Liburkan Sekolah Dua Minggu untuk Antisipasi Corona
150735,1,Menhub Budi Karya Sumadi Positif Virus Corona
150736,1,Cegah Penyebaran Virus Corona Ini Perintah Kabareskrim
150737,1,Dampak Virus Corona Terhadap Ekonomi Menurut PM Singapura
150738,1,Dirut RSUP: Ketua PPATK Meninggal Bukan Karena Corona
150739,1,China Hadapi Ancaman Kasus Impor Virus Corona
150740,1,Almarhum Ketua PPATK DInyatakan Negatif Corona
150741,1,Imbas Corona Kuliah di ITB dan UPI Dilakukan Secara Online
150742,1,Ini Isi Surat Telegram Kapolri Terkait Virus Corona
150743,1,WHO Kirim Surat Minta Jokowi Serius Soal Corona
150744,1,Satu Pasien di RSD Gunung Jati Positif Corona
150745,1,Tiga Prinsip Anies Tanggulangi Penyebaran Virus Corona
150746,1,Viral Muazin Kuwait Menangis Usai Azan Modifikasi Corona
150747,1,Donald Trump Negatif Virus Corona
150748,1,Kasus Virus Corona di Arab Saudi Terus Bertambah
150749,1,Kematian Akibat Corona di Italia Tembus 1.000 Orang
150750,1,Trump Segera Umumkan Status Darurat Nasional Corona
150751,1,Trump Resmi Umumkan Status Darurat Nasional Corona
150752,1,Rudy Gobert Sumbang 500.000 dolar AS untuk Corona
150753,1,Dinkes Bogor Lacak Riwayat Seminar Pasien Corona Meninggal
150754,1,WHO Sebut Eropa Kini Jadi Pusat Pandemi Corona
150755,1,Donovan Mitchell Ungkap Kondisinya Usai Terinfeksi Corona
150756,1,Cegah Corona UI Terapkan Pembelajaran Jarak Jauh
150757,1,Pandemi Corona Mengapa Istana Belum Pikirkan Opsi Lockdown?
150758,1,Empat Pasien Diisolasi di Sardjito Satu Positif Corona
150759,1,Dradjad: Corona tak Peduli Pendukung Jokowi Anies Ahok
150760,1,Kabinet Australia Gelar Rapat Darurat Bahas Virus Corona
150761,1,River Plate Tolak Bermain karena Khawatir Virus Corona
150762,1,Bahaya Pasien Positif Corona yang Sempat Kabur dari RS
150763,1,Daerah Pasien Corona Dirahasiakan Jokowi Takut Warga Panik
150764,1,Manila Disolasi Cegah Corona Bagaimana Logistik untuk WNI?
150765,1,Bersihkan Mobil dengan Benar untuk Lawan Virus Corona
150766,1,Pandemi Corona Batalkan Ajang Tenis Elite Dunia
150767,1,Kematian Akibat Virus Corona di Italia Tembus 1.441 Orang
150768,1,Unisa Siapkan Pencegahan dan Penyebaran Corona Saat Wisuda
150769,1,Jaksel Wilayah Penyebaran Corona Pertama Ini Kata Anies
150770,1,Infeksi Virus Corona di Jepang Capai 1.484 Kasus
150771,1,Demi Warga Gubernur Banten Memilih Langgar Protokol Corona
150772,1,Cegah Corona Persib Semprot Stadion dengan Disinfektan
150773,1,Kasus Virus Corona di Palestina Bertambah
150774,1,Antisipasi Corona Jonas Brothers Batalkan Sejumlah Konser
150775,1,Merokok Tingkatkan Risiko Tertular Corona
150776,1,Pemain Detroit Pistons Christian Wood Positif Corona
150777,1,CAS Tunda Sidang karena Corona Nasib Man City Belum Jelas
150778,1,Pasien Corona Prancis Didominasi Usia di Bawah 60 Tahun
150779,1,RS Unair Siapkan SDM Khusus untuk Pasien Corona
150780,1,Pemkab Pasaman Barat Hentikan Absen Sidik Jari Cegah Corona
150781,1,Festival Manggis Purwakarta di Tengah Wabah Corona
150782,1,Meski tak Ada Corona Libya Nyatakan Status Darurat
150783,1,Tes Corona Anies: Kalau BPJS tak Cover Kita yang Bayar
150784,1,Cegah Corona Gubernur Babel Minta Tunda OPD Keluar Daerah
150785,1,Khawatir Corona Mesir Batalkan Perayaan Isra Miraj
150786,1,Slovenia dan Denmark Laporkan Kematian Pertama Akibat Corona
150787,1,Corona Jadi Pandemi Pemerintah tak akan Tutup Akses Negara
150788,1,Emil Akan Lakukan Tes Corona
150789,1,DKI Catat 174 ODP dan 152 PDP Corona
150790,1,Cegah Corona Anies Minta Warga DKI Jaga Jarak Aman
150791,1,Wabah Virus Corona 14 Orang di Kabupaten Cirebon Diawasi dan Dipantau
150792,1,Virus Corona Berpotensi Tekan Ekspor Indonesia 68 Persen
150793,1,Hadapi Corona Pemkot Surabaya Pastikan Stok Masker Aman
150794,1,Puskeshaji Buat Vlog Imbauan Corona Jamaah Haji
150795,1,Pemain NBA Sumbang Gaji untuk Pekerja yang Terdampak Corona
150796,1,Memandikan Jenazah Korban Corona Menurut Fikih Klasik
150797,1,WHO Nyatakan Corona Sebagai Pandemi Apa Maknanya?
150798,1,Sekolah Islam Diimbau Sinergi dengan Pemda Cegah Corona
150799,1,Estonia Larang Kunjungan Wisatawan Asing Akibat Virus Corona
150800,1,Abaikan Isolasi Corona Pickford Pilih Nonton Tinju di Luar
150801,1,WHO Nyatakan Wabah Virus Corona Sebagai Pandemi
150802,1,Menag Jelaskan Cara Mengurus Jenazah Pasien Corona
150803,1,WNI di Singapura Positif Corona Jadi 8 Orang
150804,1,Kabar Terbaru Penemuan Vaksin Virus Korona. Simak di Sini!
150805,1,Hambat Corona Bioskop AS Mungkinkan Penonton Duduk Berjarak
150806,1,Cegah Corona Dedi Minta Pemerintah Segera Ambil Tindakan
150807,1,Cegah Corona dengan Memutus Penularan
150808,1,Heidi Klum Sulit Dapatkan Tes Corona
150809,1,Bandara Kertajati Pastikan Aman dari Corona
150810,1,China Kritik Pejabat AS Tuding Negaranya Memperburuk Corona
150811,1,Antisipasi Corona Disdik Kota Bogor Liburkan Sekolah
150812,1,Sempat Turun Kasus Corona di China Naik Lagi
150813,1,Cegah Corona Barcelona Hentikan Semua Aktivitas Klub
150814,1,Kementerian ATR: Sofyan Djalil Negatif Corona
150815,1,Jakarta Tunda Ujian Nasional SMK karena Virus Corona
150816,1,Sempat Kabur Pasien Positif Corona Kembali ke Rumah Sakit
150817,1,Tambah 34 Orang Total 69 Pasien di Indonesia Positif Corona
150818,1,Kelakar Menhub: Kita Kebal Corona karena Doyan Nasi Kucing
150819,1,Thailand Laporkan Kenaikan Tertinggi Virus Corona
150820,1,Imbas Corona Pemilu Raya IKA Unpad Diminta Dikaji Ulang
150821,1,Corona Meluas Destinasi Wisata di DIY Belum Ditutup
150822,1,Begini Dampak Virus Corona ke Ekonomi RI Ngeri-ngeri Sedap
150823,1,Gubernur Banten Akui Langgar Prosedur Soal Informasi Corona
150824,1,Cara Aktris Cilik Kila Putri Sampaikan Pesan Waspada Corona
150825,1,Ketika Terinfeksi Virus Corona Apa yang akan Terasa?
150826,1,UNY Klarifikasi Kabar Mahasiswa Terduga Corona
150827,1,Tiga Pasien RSHS Bandung Dinyatakan Positif Corona
150828,1,Anies: Hampir di Seluruh Kecamatan Ada Kasus Corona
150829,1,Pejabat China Tuding Militer AS Bawa Virus Corona ke Wuhan
150830,1,Mewaspadai Kasus Transmisi Lokal Corona
150831,1,SBY Peringkat Kongres Demokrat karena Wabah Corona
150832,1,Google Garap Website yang Bisa Deteksi Infeksi Corona
150833,1,Corona Jenis Baru yang Melonjak di Luar China
150834,1,Ragam Cara Raksasa Medsos Halau Hoaks Corona
150835,1,Penularan Corona di Wuhan Terus Menurun
150836,1,Dampak Virus Corona 31 Negara Tutup Penerbangan ke China
150837,1,Dari Luar Negeri Wali Kota Bogor akan Berstatus ODP Corona
150838,1,Jokowi Konfirmasi Dua Pasien Corona Meninggal Dunia
150839,1,Ini Orang Terkaya Penyumbang Dana Atasi Virus Corona
150840,1,Malaysia Lacak 5.000 Warganya Usai Positif Corona di Masjid
150841,1,Jokowi Apresiasi Pemprov DKI Terkait Penanganan Corona
150842,1,Cegah Corona Baznas Siapkan Manajemen Bekerja dari Rumah
150843,1,Corona Bertambah Pesantren Tebuireng Tutup Akses Makam
150844,1,Corona Teori Konspirasi dan Qunut Nazilah
150845,1,Kasus Baru Virus Corona di China Menurun Signifikan
150846,1,Imbas Virus Corona Tiket Pesawat ke 3 Destinasi Wisata ini Jadi Murah
150847,1,Ini Daftar Tempat Wisata Jakarta yang Ditutup Akibat Corona
150848,1,Hoaks Corona dari Grup Sebelah
150849,1,Masjid Diminta Gulung Karpet untuk Kurangi Risiko Corona
150850,1,Huawei Bilang Corona Tak Beri Dampak Masif ke Bisnisnya Analis Ragu
150851,1,Dirut KAI: Foto Pak Anies Bagian dari Mitigasi Risiko Corona
150852,1,Saat Isu Corona Menyentil Tuhan
150853,1,LIPI: Beberapa Virus Corona dapat Bertahan di Benda Mati
150854,1,Warga Italia yang Dievakuasi dari Wuhan Positif Corona
150855,1,Virus Corona Kembali Renggut Nyawa Dokter
150856,1,Arsenal Tutup Pusat Latihan Setelah Arteta Positif Corona
150857,1,Pemerintah Siapkan Laboratorium Tambahan Tes Corona
150858,1,Corona Reda Sejumlah Sekolah di China Kembali Dibuka
150859,1,Garuda Semprot Pesawat dengan Cairan Khusus Cegah Corona
150860,1,Momentum Dunia Harus Bersatu Lawan Virus Corona
150861,1,Italia: Penumpang Kapal Pesiar Negatif Virus Corona
150862,1,Bagaimanakah Virus Corona Nanti akan Berakhir?
150863,1,Corona Infeksi 78 Ribu Orang Ini Daftar Negara Terdampak
150864,1,Pasien Corona Mulai Putus Asa
150865,1,AS Lakukan Analisis Paru Pasien Corona Apa Hasilnya?
150866,1,Seberapa Mematikan Virus Corona Tipe Baru?
150867,1,Seluruh Masjid di Singapura Ditutup Cegah Penyebaran Corona
150868,1,Pengajar Diduga Terinfeksi Corona Sekolah Internasional di Jaksel Diliburkan 14 Hari
150869,1,Gubernur Wahidin: Empat Warga Banten Positif Corona
150870,1,Australia Kucurkan Dana Lawan Dampak Corona
150871,1,Ridwan Kamil Minta Perguruan Tinggi Riset Kina untuk Corona
150872,1,Enam Orang Meninggal Akibat Corona di Inggris
150873,1,Jumlah Penderita Corona di Indonesia Naik Jadi 19 Orang
150874,1,Virus Corona dan Covid-19 Apa Bedanya?
150875,1,Juventus Umumkan Beknya Daniele Rugani Positif Corona
150876,1,Empat Pasien Positif Corona dalam Kondisi Baik
150877,1,Kemenhub Bantah Nakhoda Terindikasi Corona di Tanjung Priok
150878,1,Penderita Corona di Indonesia Bertambah Jadi 27 Orang
150879,1,Jubir: 11 Pasien Diduga Terinfeksi Virus Corona di Indonesia
150880,1,China Laporkan 44 Kasus Baru Corona
150881,1,Wanita Indonesia Orang ke-12 yang Positif Corona di Victoria
150882,1,Jepang Keberatan Warganya Didiskriminasi karena Isu Corona
150883,1,Pasien Corona No 25 Meninggal
150884,1,Anies Memilih Bergerak Lebih Dulu Mengantisipasi Corona
150885,1,Risma Sebut Ada Profesor Unair Temukan Penangkal Corona
150886,1,Stok Iphone Menurun di Seluruh Dunia Akibat Corona
150887,1,Darurat Corona Bagi Dunia
150888,1,Qatar Larang Masuk Pelancong dari 14 Negara Terkait Corona
150889,1,COVID-19 Jadi Nama Resmi Virus Corona Tipe Baru
150890,1,Cegah Corona Singapura Minta Muslim Hindari Bersalaman
150891,1,Kalifornia Nyatakan Darurat Virus Corona
150892,1,Korban Tewas Akibat Virus Corona Jadi 80 Orang
150893,1,Mengapa Imported Case Corona Bisa Lolos Pemeriksaan Bandara?
150894,1,Harga Jahe di Purwakarta Melonjak 100% Dampak Corona?
150895,1,Data Tunjukkan Isu Corona Jadi Perbincangan Hangat di Medsos
150896,1,Penderita Corona Meningkat Wilayah Utara Italia Diisolasi
150897,1,Corona di Saudi Bertambah Jadi Tujuh Kasus
150898,1,Betlehem Bagaikan Kota Hantu Setelah Ditutup karena Corona
150899,1,Menteri Kebudayaan Prancis Positif Corona
150900,1,Soal Corona Pemerintah Harus Beri Rasa Aman untuk Rakyat
150901,1,Beijing Catat Korban Pertama Meninggal Dunia Akibat Corona
150902,1,Italia Alami Tingkat Kematian Tertinggi Akibat Corona
150903,1,Cegah Corona Korut Ancam Tembak WN China Dekati Perbatasan
150904,1,Ada Corona di Antara Kita
150905,0,Mitos Terkait Corona yang Perlu Diwaspadai
150906,1,Kondisi WNI di Pusat Penyebaran Virus Corona Korsel
150907,1,Kasus Corona di Prancis Meningkat Drastis
150908,1,Pemerintah Disarankan Evaluasi Bayar Buzzer Corona
150909,1,Imbauan untuk Muslim di Seluruh Dunia Terkait Corona
150910,1,Corona Mewabah Ekspor Teh India Terancam
150911,1,Hoaks dan Virus Corona
150912,1,dr Corona Rintawan Komandai Pusat Corona Muhammadiyah
150913,1,Menkes Pertanyakan Kapasitas BRI Umumkan Dugaan Kasus Corona
150914,1,Delapan ABK yang Dikarantina Terkait Corona Kondisinya Baik
150915,1,Kasus Corona di Inggris Bertambah
150916,1,China Konfirmasi 81 Orang Meninggal Akibat Virus Corona
150917,1,Yunani Benarkan Tiga Kasus Baru Corona
150918,1,China Kucurkan Rp 2 Triliun Kendalikan Virus Corona
150919,1,WHO: Tidak Perlu Travel Ban untuk Mengatasi Virus Corona
150920,1,Nigeria Konfirmasi Kasus Pertama Virus Corona
150921,1,Pulang dari China Warga Norwegia Positif Corona
150922,1,Menkes: Pemerintah tak Sembunyikan Temuan Kasus Corona
150923,1,Kasus Perdana Corona Muncul di Slovenia
150924,1,Inggris Bersiap Hadapi Wabah Virus Corona Memburuk
150925,1,Irak Umumkan Lima Kasus Tambahan Corona
150926,1,WHO Kumpulkan Ilmuwan Bahas Virus Corona
150927,1,Korsel Laporkan 594 Kasus Infeksi Baru Corona
150928,1,Rusia Tutup Beberapa Sekolah Cegah Penyebaran Corona
150929,1,Ingatkan WNI Kemlu: Status Corona Singapura Naik ke Oranye
150930,1,Anak Terbukti Lebih Tangguh Hadapi Corona
150931,1,65 Warga Suspect Corona PMI Jatim: Kesalahan Redaksi
150932,1,Afrika Akui tak Siap Hadapi Wabah Virus Corona
150933,1,Foxconn Lanjutkan Produksi di Tengah Wabah Corona
150934,1,Istana: Kami Serius Tangani Virus Corona
150935,1,Kuwait dan Bahrain Konfirmasi Kasus Pertama Corona
150936,1,Wakil Menteri Kesehatan Iran Positif Terkena Virus Corona
150937,1,Wabah Corona Kualifikasi Fed Cup Dipindah dari China
150938,1,Pemerintah Diminta Berikan Informasi Lengkap Soal Corona
150939,1,Masyarakat Diimbau tak Panik terhadap Virus Corona
150940,1,Kasus Baru Virus Corona Sentuh Angka Terendah
150941,1,Virus Corona Telah Menjangkiti 40.600 Orang Lebih
150942,1,Hong Kong Laporkan Kematian Pertama Akibat Virus Corona
150943,1,Kasus Corona Terdeteksi Akankah Lebih Banyak Orang Dites?
150944,1,Pasien Corona di Inggris Bertambah 12 Orang
150945,1,Kasus Corona di Korsel Mencapai 3.150 orang
150946,1,China Ajukan Izin Pakai Obat Buatan AS untuk Virus Corona
150947,1,Kasus Infeksi Virus Corona di Korsel Tembus 4.212 Orang
150948,1,Jumlah Kematian Akibat Virus Corona Hampir 1.800 Orang
150949,1,Indonesia Positif Corona Perlukah Meliburkan Sekolah?
150950,1,Khawatir Corona LG Batal Ikut Mobile World Congress
150951,1,Pemerintah Susun Protokol Penanganan Corona
150952,1,Gara-Gara Virus Corona Liga Inggris Terancam Dihentikan
150953,1,China Larang Pemasok Apple Kembali Beroperasi karena Corona
150954,1,Pengusaha Korsel Ketar-Ketir Usai Karyawan Samsung Terinfeksi Virus Corona LG Ikut Lakukan Hal Ini
150955,1,Dinkes: Semua Mahasiswa Aceh dari China Bebas dari Corona
150956,1,Rupiah Melemah Dibayangi Sentimen Wabah Corona
150957,1,Corona Ekonomi dan Ketergantungan Indonesia pada China
150958,1,Kalifornia Pantau 8.400 Orang untuk Cegah Penyebaran Corona
150959,1,Jerman Benarkan Dua Kasus Baru Corona
150960,1,Takut Corona Mobile World Congress Resmi Dibatalkan
150961,1,Kasus Pertama Corona di Armenia Pria yang Pulang dari Iran
150962,1,Balitbangkes Kemenkes Pastikan 30 Orang Negatif Corona
150963,1,Istri Pasien Virus Corona di Kanada Positif Tertular
150964,1,Hong Kong Evakuasi Satu Gedung karena Virus Corona
150965,1,280 Orang di Jabar Berstatus Pasien Dalam Pengawasan Covid-19
150966,1,Warga Seattle AS Positif Terinfeksi Virus Corona China
150967,1,Waspada Super-Spreader dari Wabah Corona
150968,1,Kemendikbud Bisa Liburkan Sekolah Terkait Corona
150969,1,Pasokan Galaxy S20 Terancam karena Corona
150970,1,Dinkes Tunggu Laboratorium WN China yang Dicurigai Corona
150971,1,WHO: Kasus Penyebaran Corona Bisa Lebih Meningkat
150972,1,India Laporkan Kasus Pertama Virus Corona
150973,1,Diisolasi Akibat Virus Corona Warga Wuhan Timbun Makanan
150974,1,WHO: Dunia Harus Waspadai Penyebaran Virus Corona
150975,1,WHO Sebut Corona Makin Besar Setelah Kasus Nigeria
150976,1,Kominfo Identifikasi 86 Hoaks Terkait Virus Corona
150977,1,Virus Corona Pengaruhi Penjualan iPhone
150978,1,Coca-Cola Kena Imbas Wabah Corona
150979,1,AS Selidiki Cacat Produksi Alat Uji Virus Corona
150980,1,Malaysia Umumkan Satu Kasus Baru Corona
150981,1,Jurnalis Malaysia Didakwa karena Postingan Virus Corona
150982,1,Ilmuwan China Kembangkan Vaksin untuk Melawan Virus Corona
150983,1,Pasien Pertama Corona Filipina Pulih Kembali
150984,1,Empat Provinsi di China Turunkan Level Darurat Corona
150985,1,iPad Mendadak Laris Manis di Tengah Corona Waduh Kok Bisa?
150986,1,Sektor Logistik dan Perdagangan Terdampak Wabah Corona
150987,1,WHO Pastikan tak Ada Lonjakan Kasus Corona di Luar China
150988,1,Saran Dekan FK UMM Agar Terhindar dari Virus Corona
150989,1,Wabah Corona Israel Terbitkan Imbauan Perjalanan ke Italia
150990,1,Penyebaran Virus Corona ke Negara Lain Sulit Dibendung
150991,1,Batam tak Larang Warganya ke Singapura Terkait Virus Corona
150992,1,RSUD Moewardi Bantah Ada Pasien Suspect Virus Corona
150993,1,San Francisco Umumkan Darurat Corona
150994,1,Olimpiade Tokyo Kemungkinan Bisa Dibatalkan karena Corona
150995,1,Spanyol Konfirmasikan Satu Kasus Positif Infeksi Corona
150996,1,Singapura Tanggung Biaya Perawatan WNI Terinfeksi Corona
150997,1,Wabah Virus Corona Industri Teknologi Ini Bakal Terpukul
150998,1,Malaysia Konfirmasi Warga Negara Pertama Terinfeksi Corona
150999,1,Warga China di Kuala Lumpur Dinyatakan Sembuh dari Corona
151000,1,Cegah Penyebaran Corona Maskapai Diminta Lakukan Mitigasi
151001,1,Pakar Waspadai Kembali Naiknya Penderita Corona
151002,1,Cegah Virus Corona Rusia Mulai Larang Masuk Warga China
151003,1,Cilacap Termasuk Rentan Penyebaran Corona
151004,1,Waspada Corona di Singapura Meningkat Ini Saran Kemenkes
151005,1,Wabah Virus Corona Turunkan Emisi Karbon China
151006,1,Ogah Keok Karena Corona Begini Taktik Para Produsen HP Dunia
151007,1,Muslim Singapura Galang Dana untuk Korban Virus Corona
151008,1,Mahasiswi Cilacap Dipastikan Negatif Virus Corona
151009,1,Australia Kembangkan Virus Corona Tiruan untuk Buat Vaksin
151010,1,Mari Pangestu Sebut Corona Berpotensi Pengaruhi Perdagangan
151011,1,2 Pasien Terinfeksi Virus Corona di Rusia Sembuh
151012,1,Apa yang Terjadi Setelah WHO Nyatakan Virus Corona Sebagai Darurat Global?
151013,1,Virus Corona Capai Eropa Prancis Laporkan 3 Kasus
151014,1,China Tuduh AS Sebarkan Ketakutan Virus Corona
151015,1,Dinkes Lebak Waspadai Virus Corona
151016,1,WHO: Buat Obat Antivirus Corona Butuh Waktu Lama
151017,1,3 Masjid di Malaysia yang Ditutup Efek Corona Kembali Dibuka
151018,1,Dokter di China yang Tangani Virus Corona Meninggal
151019,1,WHO Desak Semua Negara Tingkatkan Berbagi Data Kasus Corona
151020,1,Korban Tewas Virus Corona Capai 361 Orang Evakuasi Dilanjutkan
151021,1,Lembaga Keuangan Singapura Diminta Antisipasi Corona
151022,1,Wabah Virus Corona Bikin Pasar Smartphone Porak-poranda
151023,1,Antisipasi Corona Dinas Kesehatan Jaga Pintu Masuk Jakarta
151024,1,Malaysia Gelar Shalat Hajat Minta Dilindungi dari Corona
151025,1,Menko Airlangga: Tanpa Vaksin Corona Kita Tunggu Nasib
